Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
BT1 1AA,54.602723,-5.922495,146766,530134,NW467301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1AL,54.600624,-5.934271,145993,529944,NW459299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1AR,54.602723,-5.922495,146766,530134,NW467301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1AS,54.602679,-5.922529,146764,530130,NW467301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1BB,54.599771,-5.930074,146259,529833,NW462298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1BH,54.59991,-5.929247,146313,529846,NW463298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1BL,54.599316,-5.930809,146208,529786,NW462297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1BN,54.599693,-5.928639,146351,529820,NW463298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1BP,54.602723,-5.922495,146766,530134,NW467301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1BQ,54.59992,-5.929324,146308,529847,NW463298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1BW,54.59991,-5.929247,146313,529846,NW463298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DA,54.599815,-5.931047,146196,529842,NW461298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DB,54.60002,-5.93099,146201,529865,NW462298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DD,54.600624,-5.934271,145993,529944,NW459299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DE,54.60002,-5.93099,146201,529865,NW462298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DF,54.600624,-5.934271,145993,529944,NW459299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DH,54.601495,-5.931596,146171,530031,NW461300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DJ,54.601831,-5.931765,146162,530069,NW461300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DL,54.602519,-5.931544,146181,530144,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DN,54.603236,-5.930935,146225,530222,NW462302,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DW,54.603538,-5.930734,146239,530255,NW462302,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DX,54.603236,-5.930935,146225,530222,NW462302,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1DZ,54.603538,-5.930734,146239,530255,NW462302,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EA,54.602919,-5.931292,146200,530188,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EB,54.603538,-5.930734,146239,530255,NW462302,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EE,54.601657,-5.931093,146205,530047,NW462300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EF,54.602563,-5.931511,146183,530149,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EJ,54.600064,-5.935151,145933,529884,NW459298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EL,54.599523,-5.929777,146276,529805,NW462298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1ER,54.602326,-5.930238,146264,530118,NW462301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1ES,54.603538,-5.930734,146239,530255,NW462302,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1ET,54.603236,-5.930935,146225,530222,NW462302,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EU,54.602563,-5.931511,146183,530149,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EW,54.602563,-5.931511,146183,530149,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EX,54.601685,-5.931153,146201,530050,NW462300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EY,54.603236,-5.930935,146225,530222,NW462302,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1EZ,54.602563,-5.931511,146183,530149,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FB,54.599784,-5.930321,146243,529836,NW462298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FD,54.600543,-5.930561,146232,529921,NW462299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FE,54.601531,-5.931068,146205,530033,NW462300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FF,54.602374,-5.930963,146217,530126,NW462301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FG,54.602931,-5.93044,146255,530186,NW462301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FH,54.603046,-5.93031,146264,530198,NW462301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FJ,54.600016,-5.932832,146082,529871,NW460298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FP,54.60143,-5.930408,146247,530019,NW462300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FQ,54.602563,-5.931511,146183,530149,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FS,54.602563,-5.931511,146183,530149,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FT,54.601005,-5.930785,146220,529973,NW462299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FW,54.602563,-5.931511,146183,530149,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FX,54.600911,-5.930542,146235,529962,NW462299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1FY,54.600911,-5.930542,146235,529962,NW462299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GA,54.600131,-5.929591,146292,529872,NW462298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GB,54.599154,-5.929192,146312,529762,NW463297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GG,54.599355,-5.934103,145996,529802,NW459298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GH,54.599362,-5.932432,146104,529797,NW461297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GJ,54.599355,-5.934103,145996,529802,NW459298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GP,54.599284,-5.934153,145992,529794,NW459297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GT,54.602563,-5.931511,146183,530149,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GU,54.599334,-5.931829,146143,529791,NW461297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1GW,54.599284,-5.934153,145992,529794,NW459297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HB,54.599019,-5.931784,146144,529756,NW461297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HD,54.59916,-5.933742,146018,529779,NW460297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HE,54.59913,-5.934099,145995,529777,NW459297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HF,54.59913,-5.934099,145995,529777,NW459297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HG,54.599284,-5.934153,145992,529794,NW459297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HH,54.599504,-5.932873,146076,529814,NW460298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HJ,54.599509,-5.931047,146194,529808,NW461298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HL,54.599443,-5.932412,146106,529805,NW461298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HR,54.600624,-5.934271,145993,529944,NW459299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HS,54.600456,-5.937019,145815,529935,NW458299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1HU,54.599699,-5.934256,145988,529841,NW459298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JA,54.601759,-5.933889,146025,530068,NW460300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JB,54.599284,-5.934153,145992,529794,NW459297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JE,54.601759,-5.933889,146025,530068,NW460300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JG,54.599284,-5.934153,145992,529794,NW459297,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JJ,54.599534,-5.934079,145999,529822,NW459298,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JL,54.601349,-5.933058,146076,530020,NW460300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JN,54.601517,-5.932338,146123,530036,NW461300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JP,54.602113,-5.934118,146012,530109,NW460301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JQ,54.601732,-5.933379,146057,530064,NW460300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JS,54.600566,-5.9361,145875,529944,NW458299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1JW,54.600501,-5.937032,145814,529940,NW458299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1LA,54.600811,-5.928907,146340,529945,NW463299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1LB,54.601276,-5.929827,146284,530000,NW462299,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1LD,54.601545,-5.930324,146254,530032,NW462300,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1LE,54.602156,-5.932429,146121,530107,NW461301,,,, ,,Northern Ireland,,,,,,,,,,,,,
BT1 1LF,54.602512,-5.933789,146036,530152,NW460301,,,, ,,Northern Ireland,,,,,,,,,,,,,
