Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
EH32 9JL,55.958429,-2.983904,338668,674371,NT386743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,14,8,,,IZ07 - 05,Accessible small town,
EH32 9JN,55.958861,-2.984988,338601,674420,NT386744,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,13,11,,,IZ07 - 05,Accessible small town,
EH32 9JP,55.958018,-2.984774,338613,674326,NT386743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,27,15,,,IZ07 - 05,Accessible small town,
EH32 9JQ,55.960195,-2.977686,339059,674562,NT390745,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/07/1991,,,,124,52,,,IZ07 - 06,Accessible small town,
EH32 9JR,55.957822,-2.983488,338693,674303,NT386743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,49,26,,,IZ07 - 05,Accessible small town,
EH32 9JS,55.957408,-2.982324,338765,674256,NT387742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,14,8,,,IZ08 - 01,Accessible small town,
EH32 9JT,55.956987,-2.981144,338838,674208,NT388742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,27,17,,,IZ08 - 01,Accessible small town,
EH32 9JU,55.956741,-2.981491,338816,674181,NT388741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,25,15,,,IZ08 - 01,Accessible small town,
EH32 9JW,55.958759,-2.985354,338578,674409,NT385744,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,4,3,,,IZ07 - 07,Accessible small town,
EH32 9JX,55.955506,-2.980835,338855,674043,NT388740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,1,1,,,IZ07 - 02,Accessible small town,
EH32 9JY,55.956272,-2.979541,338937,674127,NT389741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,1,1,,,IZ08 - 01,Accessible small town,
EH32 9JZ,55.954441,-2.979286,338950,673923,NT389739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,7,3,,,IZ08 - 01,Accessible small town,
EH32 9LA,55.95412,-2.978926,338972,673887,NT389738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,6,5,,,IZ08 - 01,Accessible small town,
EH32 9LB,55.954653,-2.980797,338856,673948,NT388739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,3,2,,,IZ08 - 01,Accessible small town,
EH32 9LD,55.953977,-2.981052,338839,673873,NT388738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,10,6,,,IZ07 - 02,Accessible small town,
EH32 9LE,55.954155,-2.981345,338821,673893,NT388738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,15,7,,,IZ07 - 02,Accessible small town,
EH32 9LF,55.954105,-2.984211,338642,673890,NT386738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,30,17,,,IZ07 - 02,Accessible small town,
EH32 9LG,55.954459,-2.984924,338598,673930,NT385739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,66,30,,,IZ07 - 02,Accessible small town,
EH32 9LH,55.955126,-2.983436,338692,674003,NT386740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,0,0,,,IZ07 - 02,Accessible small town,
EH32 9LJ,55.956115,-2.98109,338840,674111,NT388741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,14,4,,,IZ08 - 01,Accessible small town,
EH32 9LL,55.956522,-2.981934,338788,674157,NT387741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,60,28,,,IZ08 - 01,Accessible small town,
EH32 9LN,55.956917,-2.983097,338716,674202,NT387742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,13,7,,,IZ08 - 01,Accessible small town,
EH32 9LP,55.955728,-2.98233,338762,674069,NT387740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,5,4,,,IZ08 - 01,Accessible small town,
EH32 9LQ,55.954693,-2.983713,338674,673955,NT386739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,54,24,,,IZ07 - 02,Accessible small town,
EH32 9LR,55.955449,-2.983476,338690,674039,NT386740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,6,2,,,IZ07 - 05,Accessible small town,
EH32 9LS,55.95571,-2.984588,338621,674069,NT386740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,90,34,,,IZ07 - 02,Accessible small town,
EH32 9LT,55.955123,-2.985037,338592,674004,NT385740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,38,11,,,IZ07 - 02,Accessible small town,
EH32 9LU,55.955321,-2.986035,338530,674027,NT385740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,75,31,,,IZ07 - 02,Accessible small town,
EH32 9LW,55.956052,-2.983459,338692,674106,NT386741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,97,39,,,IZ07 - 05,Accessible small town,
EH32 9LX,55.954446,-2.986429,338504,673930,NT385739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,21,10,,,IZ07 - 02,Accessible small town,
EH32 9LY,55.954236,-2.985831,338541,673906,NT385739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,15,8,,,IZ07 - 02,Accessible small town,
EH32 9LZ,55.953786,-2.985884,338537,673856,NT385738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,16,6,,,IZ07 - 02,Accessible small town,
EH32 9NA,55.953966,-2.986978,338469,673877,NT384738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,32,16,,,IZ07 - 02,Accessible small town,
EH32 9NB,55.953509,-2.986854,338476,673826,NT384738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,10,6,,,IZ07 - 02,Accessible small town,
EH32 9ND,55.953235,-2.988529,338371,673797,NT383737,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,49,15,,,IZ07 - 03,Accessible small town,
EH32 9NE,55.95379,-2.987598,338430,673858,NT384738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,41,18,,,IZ07 - 03,Accessible small town,
EH32 9NF,55.954481,-2.987695,338425,673935,NT384739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,16,8,,,IZ07 - 02,Accessible small town,
EH32 9NG,55.955042,-2.987261,338453,673997,NT384739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,60,25,,,IZ07 - 02,Accessible small town,
EH32 9NH,55.956446,-2.984686,338616,674151,NT386741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,56,21,,,IZ07 - 05,Accessible small town,
EH32 9NJ,55.957338,-2.984437,338633,674250,NT386742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,50,20,,,IZ07 - 05,Accessible small town,
EH32 9NL,55.955138,-2.980889,338851,674002,NT388740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,34,17,,,IZ07 - 02,Accessible small town,
EH32 9NN,55.95535,-2.977884,339039,674023,NT390740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/06/1982,,,,32,26,,,IZ08 - 01,Accessible small town,
EH32 9NP,55.953779,-2.982248,338764,673852,NT387738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/04/1985,,,,38,12,,,IZ07 - 02,Accessible small town,
EH32 9NQ,55.955934,-2.986932,338475,674096,NT384740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,57,22,,,IZ07 - 02,Accessible small town,
EH32 9NS,55.954917,-2.980419,338880,673977,NT388739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/05/2003,,,,20,13,,,IZ08 - 01,Accessible small town,
EH32 9NT,55.958089,-2.982662,338745,674332,NT387743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,43,20,,,IZ07 - 05,Accessible small town,
EH32 9NU,55.957674,-2.981738,338802,674285,NT388742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,5,4,,,IZ08 - 01,Accessible small town,
EH32 9NW,55.955021,-2.979781,338920,673988,NT389739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/03/1984,,,,10,6,,,IZ08 - 01,Accessible small town,
EH32 9NX,55.958505,-2.982288,338769,674378,NT387743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,4,2,,,IZ07 - 06,Accessible small town,
EH32 9NY,55.95821,-2.980935,338853,674344,NT388743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,7,5,,,IZ07 - 06,Accessible small town,
EH32 9NZ,55.957295,-2.980736,338864,674242,NT388742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,62,37,,,IZ08 - 01,Accessible small town,
EH32 9PA,55.956684,-2.979599,338934,674173,NT389741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,8,7,,,IZ08 - 01,Accessible small town,
EH32 9PB,55.956951,-2.978901,338978,674202,NT389742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,12,8,,,IZ08 - 01,Accessible small town,
EH32 9PD,55.957901,-2.979182,338962,674308,NT389743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,88,40,,,IZ07 - 06,Accessible small town,
EH32 9PE,55.958212,-2.977283,339081,674341,NT390743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,17,8,,,IZ08 - 01,Accessible small town,
EH32 9PF,55.957946,-2.975707,339179,674310,NT391743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,52,25,,,IZ08 - 01,Accessible small town,
EH32 9PG,55.958295,-2.974819,339235,674348,NT392743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,11,7,,,IZ08 - 03,Accessible small town,
EH32 9PH,55.958655,-2.975869,339170,674389,NT391743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,26,12,,,IZ07 - 06,Accessible small town,
EH32 9PJ,55.958838,-2.976546,339128,674410,NT391744,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,54,26,,,IZ07 - 06,Accessible small town,
EH32 9PL,55.95891,-2.975459,339196,674417,NT391744,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,13,7,,,IZ07 - 06,Accessible small town,
EH32 9PN,55.959418,-2.974751,339241,674473,NT392744,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,49,23,,,IZ08 - 03,Accessible small town,
EH32 9PP,55.958195,-2.973791,339299,674336,NT392743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,4,2,,,IZ08 - 03,Accessible small town,
EH32 9PQ,55.958857,-2.974208,339274,674410,NT392744,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,24,9,,,IZ08 - 03,Accessible small town,
EH32 9PR,55.957792,-2.972516,339378,674290,NT393742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,48,26,,,IZ08 - 03,Accessible small town,
EH32 9PS,55.956814,-2.972299,339390,674181,NT393741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,9,4,,,IZ08 - 03,Accessible small town,
EH32 9PT,55.957407,-2.973403,339322,674248,NT393742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,45,22,,,IZ08 - 01,Accessible small town,
EH32 9PU,55.955523,-2.970841,339479,674036,NT394740,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,61,37,,,IZ08 - 01,Accessible small town,
EH32 9PW,55.958765,-2.973309,339330,674399,NT393743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,33,16,,,IZ08 - 03,Accessible small town,
EH32 9PX,55.955154,-2.972017,339405,673996,NT394739,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,61,33,,,IZ08 - 01,Accessible small town,
EH32 9PY,55.956154,-2.973916,339288,674109,NT392741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,11,6,,,IZ08 - 01,Accessible small town,
EH32 9PZ,55.956384,-2.973233,339331,674134,NT393741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,6,4,,,IZ08 - 03,Accessible small town,
EH32 9QA,55.956754,-2.971945,339412,674174,NT394741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,6,3,,,IZ08 - 03,Accessible small town,
EH32 9QB,55.956471,-2.971329,339450,674142,NT394741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,7,4,,,IZ08 - 03,Accessible small town,
EH32 9QD,55.956591,-2.970916,339476,674155,NT394741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,4,2,,,IZ08 - 03,Accessible small town,
EH32 9QE,55.956704,-2.970294,339515,674167,NT395741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,6,2,,,IZ08 - 03,Accessible small town,
EH32 9QF,55.956851,-2.968712,339614,674182,NT396741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,49,18,,,IZ08 - 03,Accessible small town,
EH32 9QG,55.957992,-2.967684,339680,674308,NT396743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,14,5,,,IZ08 - 03,Accessible small town,
EH32 9QH,55.958483,-2.968048,339658,674363,NT396743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,4,2,,,IZ08 - 03,Accessible small town,
EH32 9QJ,55.958649,-2.97092,339479,674384,NT394743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,0,0,,,IZ08 - 05,Accessible small town,
EH32 9QL,55.957807,-2.969457,339569,674289,NT395742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,42,15,,,IZ08 - 05,Accessible small town,
EH32 9QN,55.957267,-2.970741,339488,674230,NT394742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,11,6,,,IZ08 - 05,Accessible small town,
EH32 9QP,55.95719,-2.971299,339453,674222,NT394742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,22,8,,,IZ08 - 03,Accessible small town,
EH32 9QQ,55.958373,-2.967101,339717,674350,NT397743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,19,10,,,IZ08 - 03,Accessible small town,
EH32 9QR,55.958467,-2.972373,339388,674365,NT393743,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,57,24,,,IZ08 - 03,Accessible small town,
EH32 9QS,55.9564,-2.975764,339173,674138,NT391741,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/10/1980,,,,0,0,,,IZ08 - 01,Accessible small town,
EH32 9QU,55.953468,-2.982929,338721,673818,NT387738,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/06/2009,,,,116,56,,,IZ07 - 01,Accessible small town,
EH32 9QW,55.957456,-2.96956,339562,674250,NT395742,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,9,3,,,IZ08 - 03,Accessible small town,
EH32 9QX,55.952945,-2.982003,338778,673759,NT387737,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/07/2009,,,,53,21,,,IZ07 - 01,Accessible small town,
EH32 9RA,55.959556,-2.964055,339909,674479,NT399744,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,88,32,,,IZ08 - 04,Accessible small town,
EH32 9RB,55.96108,-2.964541,339881,674649,NT398746,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,82,28,,,IZ08 - 04,Accessible small town,
EH32 9RD,55.961886,-2.964898,339860,674739,NT398747,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,32,9,,,IZ08 - 04,Accessible small town,
EH32 9RE,55.961169,-2.966994,339728,674661,NT397746,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,53,23,,,IZ08 - 05,Accessible small town,
EH32 9RF,55.960856,-2.966746,339743,674626,NT397746,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,87,29,,,IZ08 - 04,Accessible small town,
EH32 9RG,55.960386,-2.968224,339650,674575,NT396745,,East Lothian,Preston/Seton/Gosford, S12000010,S13002572,Scotland,S99999999,East Lothian,01/01/1980,,,,4,2,,,IZ08 - 05,Accessible small town,
