Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
G1 1BL,55.858361,-4.242798,259718,665071,NS597650,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/09/1985,,,,64,44,,,City Centre East - 05,Large urban area,
G1 1BQ,55.859106,-4.249265,259316,665167,NS593651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/03/2008,,,,1,1,,,City Centre East - 06,Large urban area,
G1 1DA,55.859767,-4.250949,259213,665244,NS592652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,0,0,,,City Centre East - 07,Large urban area,
G1 1DG,55.860398,-4.249867,259283,665312,NS592653,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/10/2002,,,,0,0,,,City Centre East - 07,Large urban area,
G1 1DJ,55.859394,-4.246293,259503,665193,NS595651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/03/1987,,,,86,59,,,City Centre East - 06,Large urban area,
G1 1DN,55.86002,-4.248423,259372,665267,NS593652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,17,12,,,City Centre East - 07,Large urban area,
G1 1DQ,55.859605,-4.250444,259244,665225,NS592652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,13,8,,,City Centre East - 07,Large urban area,
G1 1DT,55.859199,-4.250533,259237,665180,NS592651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,64,43,,,City Centre East - 07,Large urban area,
G1 1DW,55.859509,-4.247354,259437,665208,NS594652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/2005,,,,97,62,,,City Centre East - 07,Large urban area,
G1 1DX,55.859397,-4.245638,259544,665192,NS595651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/05/1992,,,,15,12,,,City Centre East - 06,Large urban area,
G1 1EA,55.858011,-4.251614,259165,665050,NS591650,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,0,0,,,City Centre East - 07,Large urban area,
G1 1EB,55.85944,-4.251122,259201,665208,NS592652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,253,56,,,City Centre East - 07,Large urban area,
G1 1EJ,55.859811,-4.246573,259487,665240,NS594652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,91,65,,,City Centre East - 07,Large urban area,
G1 1EX,55.859524,-4.243584,259673,665202,NS596652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,75,51,,,City Centre East - 02,Large urban area,
G1 1EZ,55.859444,-4.242525,259739,665191,NS597651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,39,24,,,Gallowgate North and Bellgrove - 04,Large urban area,
G1 1GA,55.860398,-4.249867,259283,665312,NS592653,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/2008,,,,0,0,,,City Centre East - 07,Large urban area,
G1 1GW,55.860806,-4.247222,259450,665352,NS594653,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/08/2005,,,,,,,,City Centre East - 02,Large urban area,
G1 1GX,55.860136,-4.246496,259493,665276,NS594652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/1999,,,,,,,,City Centre East - 02,Large urban area,
G1 1GY,55.860136,-4.246496,259493,665276,NS594652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/1999,,,,,,,,City Centre East - 02,Large urban area,
G1 1GZ,55.860136,-4.246496,259493,665276,NS594652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/1999,,,,,,,,City Centre East - 02,Large urban area,
G1 1HA,55.859007,-4.24234,259749,665142,NS597651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,24,15,,,City Centre East - 05,Large urban area,
G1 1HD,55.858852,-4.248371,259371,665137,NS593651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/08/1985,,,,43,29,,,City Centre East - 06,Large urban area,
G1 1HE,55.859199,-4.24315,259699,665165,NS596651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/04/1989,,,,77,47,,,City Centre East - 05,Large urban area,
G1 1HF,55.858744,-4.243475,259677,665115,NS596651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/04/1989,,,,53,33,,,City Centre East - 05,Large urban area,
G1 1HJ,55.860243,-4.249011,259336,665293,NS593652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,42,31,,,City Centre East - 07,Large urban area,
G1 1HL,55.86032,-4.248248,259384,665300,NS593653,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,27,21,,,City Centre East - 02,Large urban area,
G1 1HP,55.860232,-4.248115,259392,665290,NS593652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,5,3,,,City Centre East - 02,Large urban area,
G1 1HY,55.860136,-4.246496,259493,665276,NS594652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/1999,,,,,,,,City Centre East - 02,Large urban area,
G1 1JE,55.868641,-4.241904,259811,666213,NS598662,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/1998,,,,,,,,City Centre East - 03,Large urban area,
G1 1JF,55.861726,-4.247514,259435,665455,NS594654,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,0,0,,,City Centre East - 02,Large urban area,
G1 1JG,55.860398,-4.249867,259283,665312,NS592653,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/2002,,,,101,61,,,City Centre East - 07,Large urban area,
G1 1JH,55.861516,-4.246703,259485,665430,NS594654,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,,,,,City Centre East - 02,Large urban area,
G1 1JL,55.860806,-4.247222,259450,665352,NS594653,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/11/2012,,,,,,,,City Centre East - 02,Large urban area,
G1 1JN,55.861902,-4.247748,259421,665475,NS594654,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/12/1997,,,,0,0,,,City Centre East - 02,Large urban area,
G1 1JQ,55.860029,-4.247416,259435,665266,NS594652,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/07/1985,,,,0,0,,,City Centre East - 07,Large urban area,
G1 1JT,55.860806,-4.247222,259450,665352,NS594653,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/06/2000,,,,,,,,City Centre East - 02,Large urban area,
G1 1LD,55.857643,-4.245233,259563,664996,NS595649,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/08/1993,,,,0,0,,,City Centre East - 05,Large urban area,
G1 1LE,55.858402,-4.245453,259552,665081,NS595650,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/12/2001,,,,0,0,,,City Centre East - 05,Large urban area,
G1 1LF,55.85864,-4.245754,259534,665108,NS595651,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/04/1989,,,,120,21,,,City Centre East - 05,Large urban area,
G1 1LG,55.857963,-4.24538,259555,665032,NS595650,,Glasgow City,Anderston/City, S12000046,S13002650,Scotland,S99999999,Glasgow Central,01/01/1980,,,,45,26,,,City Centre East - 05,Large urban area,
